Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Whopper Sandwich,270,660,40,12,1.5,90,980,49,2,11,28
Whopper Sandwich with Cheese,292,740,46,16,2,115,1340,50,2,11,32
Bacon & Cheese Whopper Sandwich,303,790,51,17,2,125,1560,50,2,11,35
Double Whopper Sandwich,354,900,58,20,3,175,1050,49,2,11,48
Double Whopper Sandwich with Cheese,377,980,64,24,3,195,1410,50,2,11,52
Triple Whopper Sandwich,438,1130,75,28,4,255,1120,49,2,11,67
Triple Whopper Sandwich with Cheese,461,1220,82,32,4.5,280,1470,50,2,11,71
Whopper JR. Sandwich,134,310,18,5,0.5,40,390,27,1,7,13
Bacon King Sandwich,356,1150,79,31,3.5,240,2150,49,2,10,61
Cheddar Bacon King Sandwich,366,1190,84,33,3.5,235,1930,50,2,11,64
Single Qurter Pound King Sandwich,231,580,29,13,1.5,105,1310,49,2,10,32
Double Qurter Pound King Sandwich,338,900,54,25,3,210,1740,50,2,11,56
Single Stacker King,223,700,42,16,2,125,1360,48,1,10,35
Double Stacker King,334,1050,68,28,3.5,235,1870,49,1,11,61
Impossible Whopper Sandwich,285,630,34,11,0,10,1080,58,4,12,25
Hamburger,99,240,10,3.5,0.5,35,380,26,1,6,13
Cheeseburger,111,280,13,6,0.5,45,560,27,1,7,15
Double Hamburger,136,350,18,7,1,70,410,26,1,6,21
Double Cheeseburger,148,390,21,9,1.5,85,590,27,1,7,23
Extra Long Cheeseburger,226,630,37,14,1.5,100,1050,45,2,9,29
Bacon Cheeseburger,118,320,16,7,0.5,55,710,27,1,7,17
Bacon Double Cheeseburger,155,420,24,10,1.5,90,740,27,1,7,25
Crispy Chicken Sandwich,228,670,41,7,0,60,1080,54,2,8,23
Spicy Crispy Chicken Sandwich,242,700,42,7,0,65,1140,57,3,8,25
Originl Chicken Sandwich,219,660,40,7,0,75,1170,48,2,5,28
Bacon & Cheese Crispy Chicken Sandwich,262,800,52,13,1,95,1650,55,2,8,30
BBQ Bacon Crispy Chicken Sandwich,249,790,49,10,0.5,80,1630,60,2,13,28
Crispy Chicken Jr.,142,450,30,5,0,30,780,34,2,5,12
Spicy Crispy Chicken Jr.,142,390,21,3.5,0,30,740,37,2,6,12
Chicken Nuggets (4 piece),58,170,11,1.5,0,25,310,11,1,0,8
Chicken Nuggets (6 piece),88,260,16,2.5,0,35,470,16,1,0,12
Chicken Nuggets (10 piece),146,430,27,4.5,0,55,780,27,2,0,20
Chicken Nuggets (20 piece),292,860,54,9,0,115,1570,53,3,1,39
Spicy Chicken Nuggets (4 piece),66,210,15,3,0,20,570,11,2,0,8
Spicy Chicken Nuggets (6 piece),99,320,22,4.5,0,35,850,17,3,0,12
Spicy Chicken Nuggets (10 piece),165,530,37,7,0,55,1420,28,4,1,20
Spicy Chicken Nuggets (20 piece),330,1050,74,15,0,110,2840,56,9,1,40
Chicken Fries (9 piece),91,280,17,2.5,0,35,850,20,1,1,13
Crispy Taco,76,170,9,3,0,10,410,19,2,1,5
Big Fish Sandwich,188,510,28,4.5,0,30,1180,51,2,7,16
Garden Chicken Salad with Crispy Chicken (No dressing),287,440,25,7,0,75,930,31,3,4,25
Club Salad with Crispy Chicken (No dressing),308,540,33,10,0,95,1380,31,3,5,31
Garden Side Salad (no dressing),99,60,4,2.5,0,10,95,3,1,2,4
Ken's Ranch Dressing,43,260,28,4,0,10,240,2,0,2,1
Ken's Golden Itlin Dressing,43,160,17,2.5,0,0,380,4,0,3,0
Ken's Lite Honey Blsmic Vinigrette,43,120,8,1,0,0,220,14,0,11,0
Buttery Garlic Croutons (Packet),14,60,2.5,0,0,10,180,9,0,1,1
Onion Rings,43,150,8,1.5,0,0,400,19,1,2,1
Onion Rings (Small),91,320,16,3,0,0,840,41,3,4,3
Onion Rings (Medium),117,410,21,3.5,0,0,1080,53,4,5,4
Onion Rings (Large),142,500,25,4.5,0,0,1310,64,5,7,5
French Fries (Unsalted),89,220,9,1.5,0,0,210,34,3,1,2
French Fries (Small) (Unsalted),128,320,13,2,0,0,300,49,5,1,4
